iter	RMSE
0	28.8076994
1	27.65425088
2	26.43390424
3	25.16308891
4	23.86497029
5	22.97547531
6	21.66658901
7	20.7978721
8	19.76670694
9	19.00467213
10	18.3221132
11	17.74112913
12	17.08457144
13	16.37549959
14	15.64381682
15	14.99683873
16	14.30588964
17	13.86194836
18	13.17678754
19	12.64607205
20	12.25102902
21	11.75391607
22	11.37888266
23	10.96292472
24	10.58805354
25	10.29693561
26	9.917610944
27	9.655958966
28	9.366133556
29	9.095449112
30	8.822437627
31	8.568075964
32	8.241961949
33	7.965632719
34	7.753964441
35	7.48362865
36	7.303489324
37	7.057377264
38	6.887074755
39	6.560768903
40	6.321453508
41	6.081575437
42	5.883358259
43	5.667386819
44	5.467589289
45	5.261048617
46	5.087148661
47	4.907306156
48	4.744620085
49	4.57747877
50	4.395058579
51	4.224869087
52	4.052149688
53	3.864241679
54	3.727340553
55	3.617062003
56	3.503959929
57	3.371525042
58	3.273801125
59	3.16918653
60	3.075681435
61	2.964236158
62	2.852495472
63	2.762965155
64	2.679756212
65	2.591425592
66	2.499386598
67	2.411523462
68	2.333683618
69	2.253144945
70	2.190510441
71	2.11708169
72	2.058533852
73	1.996554137
74	1.937785754
75	1.890939708
76	1.838574284
77	1.789925088
78	1.744766157
79	1.707829741
80	1.670507844
81	1.617894466
82	1.567800207
83	1.524111391
84	1.477606939
85	1.436720289
86	1.397808112
87	1.354876183
88	1.318033693
89	1.278916027
90	1.252507733
91	1.229453377
92	1.191167922
93	1.171992663
94	1.148572232
95	1.123551627
96	1.10669069
97	1.078721551
98	1.062439737
99	1.037159554
