iter	Passed	Remaining
0	1	103
1	3	175
2	5	172
3	7	170
4	8	166
5	11	175
6	12	172
7	14	162
8	16	162
9	17	160
10	19	158
11	21	158
12	23	158
13	26	159
14	28	160
15	30	160
16	32	157
17	34	157
18	36	155
19	38	154
20	40	152
21	42	151
22	44	149
23	46	147
24	48	145
25	50	142
26	52	140
27	53	138
28	55	136
29	58	135
30	59	133
31	61	130
32	63	129
33	65	127
34	67	125
35	69	122
36	71	122
37	73	119
38	74	116
39	76	114
40	77	111
41	78	108
42	79	105
43	81	103
44	82	101
45	84	98
46	85	96
47	87	94
48	89	92
49	91	91
50	92	88
51	93	86
52	95	84
53	97	83
54	99	81
55	101	80
56	103	77
57	104	75
58	105	73
59	108	72
60	109	70
61	110	68
62	112	65
63	113	64
64	115	61
65	116	60
66	117	58
67	119	56
68	120	54
69	122	52
70	123	50
71	125	48
72	126	46
73	127	44
74	129	43
75	130	41
76	131	39
77	133	37
78	135	36
79	137	34
80	138	32
81	140	30
82	142	29
83	144	27
84	146	25
85	147	24
86	149	22
87	150	20
88	152	18
89	154	17
90	155	15
91	157	13
92	159	11
93	160	10
94	162	8
95	164	6
96	165	5
97	167	3
98	168	1
99	170	0
